College_Country_Name,College_Name,College_Place,College_Fees,College_Top_Course,College_Exam_Score,College_Heading,College_Logo,Upper_Section_Details,College_Rating,College_Summary,Fees_and_Eligibility,Courses_Details
USA,"University of Central Oklahoma, Edmond","Oklahoma, Usa","{'Tuition Fees': '₹13.88L/Yr\xa0($16,654/Yr)', 'Living Fees': '₹6.64L/Yr\xa0($7,970/Yr)'}",M.S Business Analytics,"TOEFL- 79.0, PTE- 42.0","University of Central Oklahoma [UCO]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/2963 logo.png?h=90&w=90&mode=stretch,"{'Location': 'Edmond, Oklahoma', 'School type': 'University', 'Established Year': 'Estd1890'}",8.7,,"[{'Program Type': 'M.S Business Analytics (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (15th Jun 2024)\nApplication Deadline For Fall 2025 Intake (15th Oct 2024)', 'Fees': 'INR 12.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 42.0'}, {'Program Type': 'M.S Computer Science (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (15th Jun 2024)\nApplication Deadline For Fall 2025 Intake (15th Oct 2024)', 'Fees': 'INR 12.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 42.0, GRE: 290.0'}, {'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (15th Jun 2024)\nApplication Deadline For Fall 2025 Intake (15th Oct 2024)', 'Fees': 'INR 8.1 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 42.0, GMAT: 550.0, GRE: 308.0'}, {'Program Type': 'M.S Engineering Physics - Electrical Engineering (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (15th Jun 2024)\nApplication Deadline For Fall 2025 Intake (15th Oct 2024)', 'Fees': 'INR 12.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 42.0'}, {'Program Type': 'M.S Nutrition and Food Science (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (15th Jun 2024)\nApplication Deadline For Fall 2025 Intake (15th Oct 2024)', 'Fees': 'INR 12.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 42.0'}, {'Program Type': 'M.S Nursing (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (15th Jun 2024)\nApplication Deadline For Fall 2025 Intake (15th Oct 2024)', 'Fees': 'INR 12.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 42.0'}]","[{'Course Name': 'Master of Science [M.S] Business Analytics', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jun, 2024', 'Application Fees': 'INR 12.8 L/Yr'}, {'Course Name': 'Master of Science [M.S] Nutrition and Food Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jun, 2024', 'Application Fees': 'INR 12.8 L/Yr'}]"
USA,"Nova Southeastern University, Fort Lauderdale","Florida, Usa","{'Tuition Fees': '₹26.17L/Yr\xa0($31,401/Yr)', 'Living Fees': '₹10.46L/Yr\xa0($12,550/Yr)'}",M.B.A,"GRE- 297.0, TOEFL- 80.0, PTE- 54.0","Nova Southeastern University [NSU]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72077 logo.png?h=90&w=90&mode=stretch,"{'Location': 'Fort Lauderdale, Florida', 'School type': 'University', 'Established Year': 'Estd1964'}",,,"[{'Program Type': 'M.B.A (1 year)', 'Important Dates': 'Application Deadline For Summer 2024 Intake (29th Apr 2024)\nApplication Deadline For Fall 2024 Intake (14th Aug 2024)\nApplication Deadline For Winter 2024 Intake (15th Dec 2024)', 'Fees': 'INR 22.1 L/Yr', 'Exams Score': 'GRE: 297.0, TOEFL: 80.0, IELTS: 6.0, PTE: 54.0, GMAT: 540.0'}, {'Program Type': 'M.S Computer Science (1 year)', 'Important Dates': 'Application Deadline For Winter 2025 Intake (3rd Dec 2024)', 'Fees': 'INR 22.1 L/Yr', 'Exams Score': 'GRE: 297.0, TOEFL: 80.0, IELTS: 6.0, PTE: 54.0'}, {'Program Type': 'M.B.A Complex Health Systems (2 years)', 'Important Dates': 'Application Deadline For Summer 2024 Intake (1st May 2024)\nApplication Deadline For Fall 2024 Intake 1 (15th Aug 2024)\nApplication Deadline For Fall 2024 Intake 2 (1st Oct 2024)\nApplication Deadline For Winter 2025 Intake 1 (15th Dec 2024)', 'Fees': 'INR 22.1 L/Yr', 'Exams Score': 'GRE: 297.0, TOEFL: 80.0, IELTS: 6.0, PTE: 54.0, GMAT: 540.0'}, {'Program Type': 'M.S Biomedical Informatics (1 year)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (1st Aug 2024)\nApplication Deadline For Winter 2025 Intake (15th Dec 2024)', 'Fees': 'INR 22.1 L/Yr', 'Exams Score': 'GRE: 297.0, TOEFL: 80.0, IELTS: 6.0, PTE: 54.0'}, {'Program Type': 'M.B.A Supply Chain Management (2 years)', 'Important Dates': 'Application Deadline For Summer 2024 Intake (29th Apr 2024)\nApplication Deadline For Fall 2024 Intake (14th Aug 2024)\nApplication Deadline For Winter 2024 Intake (15th Dec 2024)', 'Fees': 'INR 22.1 L/Yr', 'Exams Score': 'GRE: 297.0, TOEFL: 80.0, IELTS: 6.0, PTE: 54.0, GMAT: 540.0'}, {'Program Type': 'M.S Information Systems (1 year)', 'Important Dates': 'Application Deadline For Winter 2025 Intake (3rd Dec 2024)', 'Fees': 'INR 22.1 L/Yr', 'Exams Score': 'TOEFL: 80.0, IELTS: 6.0, PTE: 54.0'}]","[{'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '03 Dec, 2024', 'Application Fees': 'INR 22.1 L/Yr'}, {'Course Name': 'Master of Science [M.S] Information Systems', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '03 Dec, 2024', 'Application Fees': 'INR 22.1 L/Yr'}]"
USA,"University of North Carolina, Greensboro","North Carolina, Usa","{'Tuition Fees': '₹18.69L/Yr\xa0($22,432/Yr)', 'Living Fees': '₹8.49L/Yr\xa0($10,183/Yr)'}",M.S Computer Science,"TOEFL- 79.0, PTE- 67.0","University of North Carolina [UNCG]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/74207 Logo.png?h=90&w=90&mode=stretch,"{'Location': 'Greensboro, North Carolina', 'School type': 'University', 'Established Year': 'Estd1891'}",6.8,,"[{'Program Type': 'M.S Computer Science (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Oct 2024)', 'Fees': 'INR 18.3 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 67.0'}, {'Program Type': 'M.S Information Technology and Management (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2025 Intake (15th Nov 2024)', 'Fees': 'INR 18.3 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 67.0'}, {'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2025 Intake (15th Nov 2024)', 'Fees': 'INR 18.3 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 67.0, GMAT: 500.0'}, {'Program Type': 'B.S Business Administration (4 years)', 'Important Dates': 'Enrollment Deadline For 2024 Intake (1st May 2024)\nApplication Deadline For Summer 2024 Intake (1st Jun 2024)', 'Fees': 'INR 18.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, PTE: 53.0'}, {'Program Type': 'B.S Computer Science (4 years)', 'Important Dates': 'Enrollment Deadline For 2024 Intake (1st May 2024)\nApplication Deadline For Summer 2024 Intake (1st Jun 2024)', 'Fees': 'INR 18.9 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0, PTE: 53.0, Duolingo: 105.0'}, {'Program Type': 'M.A Interior Architecture (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2025 Intake (15th Nov 2024)', 'Fees': 'INR 18.3 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 67.0'}]","[{'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jun, 2024', 'Application Fees': 'INR 18.3 L/Yr'}, {'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Oct, 2024', 'Application Fees': 'INR 18.3 L/Yr'}]"
USA,"Pacific University, Forest Grove","Oregon, Usa","{'Tuition Fees': '₹43.43L/Yr\xa0($52,111/Yr)', 'Living Fees': '₹10.14L/Yr\xa0($12,162/Yr)'}",M.B.A,"GMAT- 525.0, IELTS- 7.0, PTE- 53.0","Pacific University Oregon: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/2630 logo.png?h=90&w=90&mode=stretch,"{'Location': 'Forest Grove, Oregon', 'School type': 'University', 'Established Year': 'Estd1849'}",,"Pacific University Oregon is a nationally recognized institution, well known for offering undergraduate, graduate, and professional programs. The university has an enrollment of 3,850 students with 1,768 undergraduates and 2,082 graduates. Applications received by January 15 are considered for early action while those received later are considered on a rolling basis. The university invites international undergraduate applications through the common application and graduate applications through the online portal to study in US.","[{'Program Type': 'M.B.A (15 months)', 'Important Dates': 'Application Deadline For August 2024 Intake (30th May 2024)', 'Fees': 'INR 30.8 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 87.0, PTE: 53.0, GMAT: 525.0'}, {'Program Type': 'B.A/B.S Public Health (4 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0, PTE: 53.0'}, {'Program Type': 'B.A Japanese (4 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0, PTE: 53.0'}, {'Program Type': 'B.A Spanish (4 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0, PTE: 53.0'}, {'Program Type': 'B.A/B.S Anthropology (4 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0, PTE: 53.0'}, {'Program Type': 'B.B.A (4 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 45.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 100.0, PTE: 53.0'}]","[{'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '15 months', 'Course Degree': 'Online, On Campus', 'Course Language': 'English', 'Application Date': '30 May, 2024', 'Application Fees': 'INR 30.8 L/Yr'}, {'Course Name': 'Master of Science [M.S] Physician Assistant Studies', 'Course Duration': '27 months', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '31 Dec, 2024', 'Application Fees': 'INR 44.6 L/Yr'}]"
USA,"University of Memphis, Memphis","Tennessee, Usa","{'Tuition Fees': '₹22.89L/Yr\xa0($27,465/Yr)', 'Living Fees': '₹3.16L/Yr\xa0($3,790/Yr)'}",M.S Computer Science,TOEFL- 79.0,"University of Memphis Rankings, Programs, Admissions 2024, Cost of Attendance, Scholarships, Placements & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72149 logo.JPG?h=90&w=90&mode=stretch,"{'Location': 'Memphis, Tennessee', 'School type': 'University', 'Established Year': 'Estd1912'}",7.3,"University of Memphis is a renowned public research university in USA, established in 1912. University of Memphis campuses are situated in 3 locations, and the university operates across 12 schools and colleges. The university has reported an annual enrollment of 21,917 students. International students from 84 countries are pursuing over 250 courses in University of Memphis.","[{'Program Type': 'M.S Computer Science (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 25.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.0'}, {'Program Type': 'M.S Information Systems (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 25.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.0'}, {'Program Type': 'M.S Mechanical Engineering (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 25.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.0'}, {'Program Type': 'M.B.A (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 25.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.0'}, {'Program Type': 'M.S Electrical and Computer Engineering (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 25.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.0'}, {'Program Type': 'M.P.H (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 25.8 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.0'}]","[{'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 May, 2024', 'Application Fees': 'INR 25.8 L/Yr'}, {'Course Name': 'Master of Science [M.S] Information Systems', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 May, 2024', 'Application Fees': 'INR 25.8 L/Yr'}]"
USA,"Miami University, Oxford","Ohio, Usa","{'Tuition Fees': '₹31.7L/Yr\xa0($38,040/Yr)', 'Living Fees': '₹11L/Yr\xa0($13,202/Yr)'}",M.S Business Analytics,"TOEFL- 80.0, PTE- 54.0","Miami University:  Ranking, Courses, Fees, Admission & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1631_17-15:08_logo.png?h=90&w=90&mode=stretch,"{'Location': 'Oxford, Ohio', 'School type': 'University', 'Established Year': 'Estd1809'}",9.3,,"[{'Program Type': 'M.A Economics (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)', 'Fees': 'INR 30.3 L/Yr', 'Exams Score': 'TOEFL: 80.0, IELTS: 6.5, PTE: 54.0'}, {'Program Type': 'M.S Geology and Environmental Earth Science (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (30th Jun 2024)', 'Fees': 'INR 30.3 L/Yr', 'Exams Score': 'TOEFL: 80.0, IELTS: 6.5, PTE: 54.0'}, {'Program Type': 'M.A History (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (30th Jun 2024)', 'Fees': 'INR 30.3 L/Yr', 'Exams Score': 'TOEFL: 80.0, IELTS: 6.5, PTE: 54.0'}, {'Program Type': 'M.S Chemistry and Biochemistry (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (20th Jun 2024)', 'Fees': 'INR 30.3 L/Yr', 'Exams Score': 'TOEFL: 80.0, IELTS: 6.5, PTE: 54.0'}]","[{'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 15.1 L/Yr'}, {'Course Name': 'Master of Science [M.S] Business Analytics', 'Course Duration': '10 months', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 30.3 L/Yr'}]"
USA,"Marquette University, Milwaukee","Wisconsin, Usa","{'Tuition Fees': '₹39.27L/Yr\xa0($47,124/Yr)', 'Living Fees': '₹9.91L/Yr\xa0($11,890/Yr)'}",M.S Computing,IELTS- 6.5,"Marquette University, USA: Ranking, Programs, Application Deadlines, Admission, Fees, Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72057 logo.png?h=90&w=90&mode=stretch,"{'Location': 'Milwaukee, Wisconsin', 'School type': 'University'}",,"Marquette University is a Christian Catholic University situated in Milwaukee, Wisconsin. The university is accredited by the Higher Learning Commission. It is one of the best private universities in the USA known for its undergraduate teaching. It comprises 11 academic departments naming Klingler College of Arts & Sciences, College of Business Administration, Diederich College of Communication, School of Dentistry, College of Education, Opus College of Engineering, Graduate School, Graduate School of Management, College of Health Sciences, Law School and College of Nursing.","[{'Program Type': 'M.S Biomedical Engineering (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)', 'Fees': 'INR 34 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'M.S Computing (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)', 'Fees': 'INR 34 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'M.S Electrical and Computer Engineering (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)', 'Fees': 'INR 34 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'M.S Mechanical Engineering (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)', 'Fees': 'INR 34 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'M.A Philosophy (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)', 'Fees': 'INR 34 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}, {'Program Type': 'M.S Healthcare Technologies Management (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st Jun 2024)', 'Fees': 'INR 34 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0'}]","[{'Course Name': 'Master of Science [M.S] Computing', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Jun, 2024', 'Application Fees': 'INR 34 L/Yr'}, {'Course Name': 'Master of Science [M.S] Electrical and Computer Engineering', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Jun, 2024', 'Application Fees': 'INR 34 L/Yr'}]"
USA,"University of Montana, Missoula","Montana, Usa","{'Tuition Fees': '₹32.63L/Yr\xa0($39,149/Yr)', 'Living Fees': '₹7.65L/Yr\xa0($9,178/Yr)'}",M.P.H,"IELTS- 6.0, PTE- 41.0","University of Montana: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1651_02-14:18_1651_-logo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Missoula, Montana', 'School type': 'University', 'Established Year': 'Estd1893'}",,,"[{'Program Type': 'M.P.H (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2024 Intake (15th Nov 2024)', 'Fees': 'INR 58.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 71.0, PTE: 41.0'}, {'Program Type': 'M.A Sociology (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2024 Intake (15th Nov 2024)', 'Fees': 'INR 58.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 71.0, PTE: 41.0'}, {'Program Type': 'M.S Biomedical and Pharmaceutical Sciences - Toxicology (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2024 Intake (15th Nov 2024)', 'Fees': 'INR 58.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 71.0, PTE: 41.0'}, {'Program Type': 'M.S Biomedical and Pharmaceutical Sciences - Pharmaceutical Sciences (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2024 Intake (15th Nov 2024)', 'Fees': 'INR 58.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 71.0, PTE: 41.0'}, {'Program Type': 'M.S Biomedical and Pharmaceutical Sciences - Medicinal Chemistry (2 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2024 Intake (15th Nov 2024)', 'Fees': 'INR 58.9 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 71.0, PTE: 41.0'}, {'Program Type': 'B.S Management (4 years)', 'Important Dates': 'Application Deadline For Fall 2024 Intake (15th Jun 2024)\nApplication Deadline For Spring 2024 Intake (15th Nov 2024)', 'Fees': 'INR 26.4 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 71.0, PTE: 41.0'}]","[{'Course Name': 'Master of Science [M.S] Biomedical and Pharmaceutical Sciences - Neuroscience', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jun, 2024', 'Application Fees': 'INR 58.9 L/Yr'}, {'Course Name': 'Master of Public Health [M.P.H]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jun, 2024', 'Application Fees': 'INR 58.9 L/Yr'}]"
USA,"University of South Alabama, Mobile","Alabama, Usa","{'Tuition Fees': '₹20.73L/Yr\xa0($24,869/Yr)', 'Living Fees': '₹6.24L/Yr\xa0($7,490/Yr)'}",M.S Computer and Information Sci...,"TOEFL- 71.0, PTE- 48.0","University of South Alabama: Programs, Admissions, Fees & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/72173 Logo.png?h=90&w=90&mode=stretch,"{'Location': 'Mobile, Alabama', 'School type': 'University'}",6.7,"The University of South Alabama is a public research university located in Mobile, Alabama, that was established in 1963. It has been accredited by the Southern Association of Colleges and Schools Commission on Colleges. With an acceptance rate of 79%, admissions at the University of South Alabama are somewhat selective.",,"[{'Course Name': 'Master of Science [M.S] Electrical Engineering', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 26 L/Yr'}, {'Course Name': 'Master of Science [M.S] Computer and Information Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 24 L/Yr'}]"
USA,"The City College of New York, New York City","New York, Usa","{'Tuition Fees': '₹21.74L/Yr\xa0($26,082/Yr)', 'Living Fees': '₹12.96L/Yr\xa0($15,550/Yr)'}",M.S Computer Engineering,"IELTS- 6.5, PTE- 53.0","The City College of New York: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_1740_17-15:31_logo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'New York City, New York', 'School type': 'College', 'Established Year': 'Estd1847'}",,,"[{'Program Type': 'M.S Computer Engineering (1 year)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 21.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 53.0'}, {'Program Type': 'M.S Computer Science (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th May 2024)', 'Fees': 'INR 21.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 53.0'}, {'Program Type': 'M.A Economics (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th May 2024)', 'Fees': 'INR 21.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 53.0'}, {'Program Type': 'M.S Civil Engineering (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 23.6 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 53.0'}, {'Program Type': 'M.S Electrical Engineering (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 21.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 53.0'}, {'Program Type': 'M.A International Relations (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (1st May 2024)', 'Fees': 'INR 21.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 53.0'}]","[{'Course Name': 'Master of Science [M.S] Computer Engineering', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 May, 2024', 'Application Fees': 'INR 21.4 L/Yr'}, {'Course Name': 'Master of Science [M.S] Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 May, 2024', 'Application Fees': 'INR 21.4 L/Yr'}]"
